activity_id,start_time,name,activity_type,distance_m,moving_s,elev_gain,user_id,avg_speed_mps,avg_hr_raw,avg_hr_norm,flat_pace_sec,flat_pace_weather_sec,cadence_avg,stride_len,hr_drift,decoupling,flat_time,flat_dist,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s,hr_zone_score,hr_zone_label,hr_max_used,hr_rest_used,hr_zone_method,run_avg_hr_raw,run_avg_hr_norm,run_flat_pace_sec,run_flat_pace_weather_sec,run_cadence_avg,run_stride_len,run_hr_drift,run_decoupling,run_hr_z1_s,run_hr_z2_s,run_hr_z3_s,run_hr_z4_s,run_hr_z5_s,run_hr_zone_score,run_hr_zone_label,run_hr_max_used,run_hr_rest_used,run_hr_zone_method
4906185626,2021-03-07T11:38:43Z,"Lunch Run",run,11798.8,3904.0,12.0,1,3.022,134.2,133.976497416443,333.639545109386,334.14000442705,158.683693732619,1.14265048748817,3.28764887918032,1.1617666444941,3936.54626483663,11798.8,371.0,3571.0,0.0,0.0,0.0,1.90588533739219,Endurance,185.0,48.0,hrr,134.2,133.976497416443,333.639545109386,334.14000442705,158.683693732619,1.14265048748817,3.28764887918032,1.1617666444941,371.0,3571.0,0.0,0.0,0.0,1.90588533739219,Endurance,185.0,48.0,hrr
4911866848,2021-03-08T11:47:56Z,"Lunch Run",run,7193.1,2362.0,18.0,1,3.045,136.8,136.800533978661,328.723202435787,328.723202435787,159.985689048625,1.14197714237097,1.56945631118865,5.6582600960662,2364.53886744086,7193.1,140.0,2220.0,5.0,0.0,0.0,1.94291754756871,Endurance,185.0,48.0,hrr,136.8,136.800533978661,328.723202435787,328.723202435787,159.985689048625,1.14197714237097,1.56945631118865,5.6582600960662,140.0,2220.0,5.0,0.0,0.0,1.94291754756871,Endurance,185.0,48.0,hrr
4917422531,2021-03-09T12:06:08Z,"Lunch Run",run,2493.3,900.0,7.0,1,2.77,129.8,129.706941460599,364.009208050383,365.319641199364,161.145879087996,1.03136363734902,10.8078158115317,-11.465305286152,907.584158432019,2493.3,362.0,553.0,0.0,0.0,0.0,1.60437158469945,Endurance,185.0,48.0,hrr,129.8,129.706941460599,364.009208050383,365.319641199364,161.145879087996,1.03136363734902,10.8078158115317,-11.465305286152,362.0,553.0,0.0,0.0,0.0,1.60437158469945,Endurance,185.0,48.0,hrr
4917426538,2021-03-09T12:22:14Z,"Lunch Run",run,3346.9,984.0,16.0,1,3.401,151.2,151.341582079223,293.910182808082,294.968259466191,165.802238624221,1.23074333430737,16.2897393945267,-25.103348352006,983.687990840368,3346.9,28.0,199.0,428.0,330.0,0.0,3.0761421319797,Tempo,185.0,48.0,hrr,151.2,151.341582079223,293.910182808082,294.968259466191,165.802238624221,1.23074333430737,16.2897393945267,-25.103348352006,28.0,199.0,428.0,330.0,0.0,3.0761421319797,Tempo,185.0,48.0,hrr
4923324844,2021-03-10T12:10:17Z,"Lunch Run",run,6594.9,2224.0,90.0,1,2.965,136.2,136.006547753295,335.652257529004,357.100436785107,160.446600000108,1.10878011749629,4.53975035285603,-1.77289210182453,2213.59307317803,6594.9,306.0,1877.0,68.0,0.0,0.0,1.89426921368281,Endurance,185.0,48.0,hrr,136.2,136.006547753295,335.652257529004,357.100436785107,160.446600000108,1.10878011749629,4.53975035285603,-1.77289210182453,306.0,1877.0,68.0,0.0,0.0,1.89426921368281,Endurance,185.0,48.0,hrr
4928689439,2021-03-11T12:36:06Z,"Lunch Run",run,6096.2,2104.0,83.0,1,2.897,136.5,136.317003229783,345.357669915115,373.12442657629,158.383754328564,1.09746104161298,-0.326288185495088,-3.55487296132652,2105.36942733652,6096.2,272.0,1573.0,230.0,37.0,0.0,2.01515151515152,Endurance,185.0,48.0,hrr,136.5,136.317003229783,345.357669915115,373.12442657629,158.383754328564,1.09746104161298,-0.326288185495088,-3.55487296132652,272.0,1573.0,230.0,37.0,0.0,2.01515151515152,Endurance,185.0,48.0,hrr
4933623163,2021-03-12T12:00:18Z,"Lunch Run",run,7158.7,2400.0,103.0,1,2.983,135.5,135.602070761739,336.763458333457,360.505282145966,159.75795785153,1.12031977878895,3.45333461775041,6.01968230832994,2410.78856917172,7158.7,345.0,2009.0,65.0,0.0,0.0,1.88424968995453,Endurance,185.0,48.0,hrr,135.5,135.602070761739,336.763458333457,360.505282145966,159.75795785153,1.12031977878895,3.45333461775041,6.01968230832994,345.0,2009.0,65.0,0.0,0.0,1.88424968995453,Endurance,185.0,48.0,hrr
4940387592,2021-03-13T14:28:42Z,"Afternoon Run",run,21017.9,6072.0,58.0,1,3.461,152.7,152.709300914451,287.473140555684,306.187642005859,164.779539393328,1.26022927824987,2.79410729395548,0.664658648974403,6042.08172088532,21017.9,72.0,303.0,5405.0,409.0,0.0,2.99386007432542,Tempo,185.0,48.0,hrr,152.7,152.709300914451,287.473140555684,306.187642005859,164.779539393328,1.26022927824987,2.79410729395548,0.664658648974403,72.0,303.0,5405.0,409.0,0.0,2.99386007432542,Tempo,185.0,48.0,hrr
4946447990,2021-03-14T14:24:31Z,"Afternoon Run",run,10011.5,3433.0,26.0,1,2.916,136.7,136.751614632209,339.791367846754,354.674229758442,159.032994276224,1.10014906526951,2.09860040852939,2.53034732067956,3401.82127919778,10011.5,184.0,3250.0,6.0,0.0,0.0,1.94825581395349,Endurance,185.0,48.0,hrr,136.7,136.751614632209,339.791367846754,354.674229758442,159.032994276224,1.10014906526951,2.09860040852939,2.53034732067956,184.0,3250.0,6.0,0.0,0.0,1.94825581395349,Endurance,185.0,48.0,hrr
4950803427,2021-03-15T13:17:48Z,"Afternoon Run",run,5368.7,1939.0,18.0,1,2.769,129.0,128.71188099846,359.333345975767,370.652346374004,157.800561104625,1.05284796731392,4.09577913489129,-4.2276494692172,1929.1529345401,5368.7,1064.0,901.0,0.0,0.0,0.0,1.45852417302799,Recovery,185.0,48.0,hrr,129.0,128.71188099846,359.333345975767,370.652346374004,157.800561104625,1.05284796731392,4.09577913489129,-4.2276494692172,1064.0,901.0,0.0,0.0,0.0,1.45852417302799,Recovery,185.0,48.0,hrr
